127.0.0.1, 2019-05-18 14:20:01, GET, /, HTTP/1.1, 303, 0.003000
127.0.0.1, 2019-05-18 14:20:02, GET, /welcome/default/index, HTTP/1.1, 200, 0.478000
127.0.0.1, 2019-05-18 14:20:07, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2019-05-18 14:20:07, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2019-05-18 14:20:07, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2019-05-18 14:20:07, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2019-05-18 14:20:07, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2019-05-18 14:20:07, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2019-05-18 14:20:07, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2019-05-18 14:20:07, GET, /welcome/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2019-05-18 14:20:07, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2019-05-18 14:20:09, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000000
127.0.0.1, 2019-05-18 14:20:09, GET, /welcome/static/images/background.jpg, HTTP/1.1, 200, 0.001000
127.0.0.1, 2019-05-18 14:20:22, GET, /hw4/default, HTTP/1.1, 200, 0.274000
127.0.0.1, 2019-05-18 14:20:22, GET, /hw4/static/css/stupid.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2019-05-18 14:20:22, GET, /hw4/static/css/custom.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2019-05-18 14:20:22, GET, /hw4/static/css/calendar.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2019-05-18 14:20:22, GET, /hw4/static/css/web2py.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2019-05-18 14:20:22, GET, /hw4/static/css/myapp.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2019-05-18 14:20:22, GET, /hw4/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2019-05-18 14:20:22, GET, /hw4/static/js/jquery.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2019-05-18 14:20:22, GET, /hw4/static/js/calendar.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2019-05-18 14:20:22, GET, /hw4/static/js/web2py.js, HTTP/1.1, 200, 0.000000
